Country,attack_scores,attack_errors,block_effective,block_errors,dig_succeeded,dig_errors,reception_succeeded,reception_errors,serve_scores,serve_errors
BRA,16.159,4.559,7.676,4.91,13.31,3.441,7.007,0.821,0.924,1.876
CAN,18.625,3.141,7.062,4.367,11.742,4.195,4.828,1.266,1.016,2.68
CHN,16.486,6.542,6.93,5.014,11.93,6.704,5.761,1.134,1.028,1.479
DOM,12.229,4.779,6.397,4.305,14.985,3.847,5.145,1.0,0.977,2.55
GER,15.443,4.473,6.473,4.466,12.733,4.252,7.595,1.015,1.344,2.649
ITA,18.562,4.861,6.729,4.083,10.319,3.986,5.535,1.056,1.056,2.708
JPN,13.248,4.606,6.0,3.854,16.314,4.321,7.635,0.737,1.212,1.949
KOR,11.571,3.706,4.95,4.025,12.513,3.95,6.235,3.378,0.975,2.479
NED,17.529,4.092,7.017,5.0,12.345,4.227,6.454,1.008,1.008,2.353
POL,14.61,4.574,7.035,4.73,12.986,5.298,6.05,1.035,1.092,2.716
SRB,16.814,1.221,7.221,4.943,12.543,4.071,5.829,1.05,1.0,2.236
THA,15.435,5.056,6.048,4.226,13.089,4.548,5.839,1.306,0.677,1.75
TUR,18.894,4.709,8.563,5.212,12.47,3.437,6.49,0.954,1.126,2.265
USA,12.336,7.15,8.214,4.821,13.907,4.021,5.671,0.857,1.25,2.407
