,Country,Ranking_scores,Attack_avg,Block_avg,Serve_avg,Dig_avg,Reception_avg,Error_avg
0,CRO,-1.5081825834524016,14.52479338842975,2.665289256198347,1.1157024793388428,18.657024793388427,20.247933884297517,5.681818181818181
1,BRA,11.606791932051033,11.027397260273974,1.8949771689497719,1.3926940639269407,17.69406392694064,20.570776255707763,6.027397260273973
2,BUL,3.649122067406036,13.070175438596491,2.9605263157894735,0.8991228070175439,20.263157894736842,20.526315789473685,5.899122807017544
3,CAN,10.547278522010995,14.11149825783972,2.195121951219512,0.9930313588850174,17.8397212543554,18.937282229965156,4.390243902439024
4,CHN,18.819317919994585,11.105263157894736,2.1842105263157894,0.8947368421052632,20.36842105263158,21.55263157894737,4.973684210526316
5,DOM,4.049493588667358,13.873517786561264,2.6482213438735176,0.9683794466403162,19.703557312252965,19.703557312252965,5.7312252964426875
6,GER,19.809281036960122,13.706563706563708,2.2200772200772203,1.4864864864864866,21.003861003861005,20.212355212355213,5.154440154440155
7,ITA,20.120637520923452,14.00383141762452,2.8735632183908044,0.9578544061302682,19.137931034482758,20.53639846743295,6.111111111111111
8,JPN,11.411692873507889,14.453441295546558,1.8825910931174088,1.3360323886639676,24.35222672064777,19.170040485829958,4.878542510121457
9,KOR,-10.380413671966732,11.102564102564102,1.2820512820512822,1.0769230769230769,21.974358974358974,22.205128205128204,5.923076923076923
10,NED,7.746449306975041,13.744292237442924,2.6940639269406392,1.2328767123287672,18.99543378995434,20.228310502283108,5.136986301369864
11,POL,28.30406175483064,14.891696750902526,2.8519855595667867,1.0649819494584836,20.3971119133574,19.657039711191334,5.306859205776172
12,SRB,8.508810750925582,14.08203125,2.28515625,1.1328125,21.875,19.6875,5.15625
13,THA,-0.856569948754718,12.985074626865671,1.8656716417910446,0.572139303482587,22.935323383084576,22.089552238805968,5.199004975124378
14,TUR,31.858606021053095,14.25287356321839,3.4099616858237547,1.1494252873563218,19.291187739463602,17.83524904214559,5.306513409961686
15,USA,10.579458321249117,14.003322259136212,2.6245847176079735,1.0132890365448504,20.299003322259136,19.335548172757473,5.0664451827242525
