Country,Total,OH,MB,OP,Block,Serve,Dig,Reception,Error,Turns
BRA,703.0,381.0,196.0,117.0,129.0,54.0,903.0,980.0,275.0,48.400000000000006
BUL,483.0,232.0,81.0,159.0,83.0,61.0,775.0,901.0,264.0,43.800000000000004
CAN,596.0,438.0,127.0,13.0,135.0,41.0,924.0,936.0,269.0,45.6
CHN,810.0,387.0,254.0,161.0,126.0,57.0,1024.0,1087.0,252.0,57.400000000000006
CRO,422.0,134.0,130.0,138.0,83.0,34.0,774.0,819.0,189.0,38.0
DOM,702.0,338.0,157.0,198.0,134.0,49.0,997.0,997.0,290.0,50.599999999999994
GER,710.0,470.0,192.0,44.0,115.0,77.0,1088.0,1047.0,267.0,51.800000000000004
ITA,731.0,354.0,139.0,230.0,150.0,50.0,999.0,1072.0,319.0,52.2
JPN,714.0,556.0,119.0,23.0,93.0,66.0,1203.0,947.0,241.0,49.400000000000006
KOR,433.0,215.0,106.0,107.0,50.0,42.0,857.0,866.0,231.0,39.0
NED,602.0,287.0,164.0,137.0,118.0,54.0,832.0,886.0,225.0,43.800000000000004
POL,825.0,322.0,211.0,284.0,158.0,59.0,1130.0,1089.0,294.0,55.400000000000006
SRB,721.0,219.0,142.0,335.0,117.0,58.0,1120.0,1008.0,264.0,51.2
THA,522.0,280.0,105.0,126.0,75.0,23.0,922.0,888.0,209.0,40.2
TUR,744.0,208.0,156.0,356.0,178.0,60.0,1007.0,931.0,277.0,52.2
USA,843.0,396.0,181.0,229.0,158.0,61.0,1222.0,1164.0,305.0,60.2
IRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
